u,v,y
3,99,5817.0186
32,568,3615.009
6,152,2057.004
42,737,1409.0032
40,701,6615.0234
2,91,4924.0176
34,603,3608.0105
22,416,3666.0095
33,584,3107.0095
17,325,6216.023
42,725,5616.0176
18,353,7047.0225
7,163,4208.0146
46,799,3833.01
27,487,912.001
30,541,2210.0042
32,576,2510.0085
8,191,2112.001
44,756,4577.014
34,598,2805.0095
38,659,3563.0105
40,698,7775.0273
